time,x,y,yaw,vel_x,yaw_vel,x,y,yaw,vel_x,yaw_vel
0.2238292694091797,2.0035873961637773,2.00000002349513,20626.319592227755,0.0,0.0,0.01571077345380223,-2.94778941745676e-06,20626.42885635656,0.22,0.4
0.2757725715637207,2.0035895182964243,2.0000000531383715,20626.318976831215,0.0,0.0,0.015720482825119782,-2.9641405016282375e-06,20626.42779969152,0.22,0.4
0.3295624256134033,2.003590611856869,2.0000000683995793,20626.318659694633,0.0,0.0,0.015725485641426007,-2.9726381198328503e-06,20626.427255399212,0.22,0.4
0.3957047462463379,2.0035927353116736,2.000000098005711,20626.318043855554,0.0,0.0,0.015735198969115585,-2.989278078993534e-06,20626.42619892059,0.22,0.4
0.4453866481781006,2.0035938295530986,2.000000113247781,20626.317726491463,0.0,0.0,0.015740203823910358,-2.9979247790931617e-06,20626.425654716237,0.22,0.4
0.5071611404418945,2.003595954329615,2.0000001428167273,20626.317110211552,0.0,0.0,0.016915639700894523,-6.076227846478963e-06,20626.42298449741,0.22,0.4
0.5859382152557373,2.0035970492518493,2.000000158039623,20626.316792620735,0.0,0.0,0.018349070228573364,-9.97209000224723e-06,20626.41960368236,0.22,0.4
0.6370532512664795,2.003598112191832,2.0000001728085435,20626.316484297247,0.0,0.0,0.02017652550217802,-1.625264004014509e-05,20626.414152880305,0.22,0.4
0.6918299198150635,2.0035991753498528,2.00000018757131,20626.316175901342,0.0,0.0,0.022311501463184412,-2.7947058813278746e-05,20626.40400281958,0.22,0.4
0.7550437450408936,2.003601334553538,2.0000002175252316,20626.315549541647,0.0,0.0,0.026945009255617006,-9.507111024200275e-05,20626.34551016465,0.22,0.4
0.8056321144104004,2.0036034946563523,2.000000247453503,20626.314922883827,0.0,0.0,0.0321314627733826,-8.871156910061926e-05,20626.35082960835,0.22,0.4
0.8621490001678467,2.0036045589181586,2.000000262184921,20626.31461412195,0.0,0.0,0.03529720719938419,-9.271160761858728e-05,20626.347359250038,0.22,0.4
0.9233927726745605,2.0036067203633383,2.000000292075115,20626.313987019625,0.0,0.0,0.04367316067035042,-0.00011083533710862581,20626.331632363355,0.22,0.4
1.0239286422729492,2.003608850427626,2.000000321494205,20626.31336898619,0.0,0.0,0.05501351172300058,-0.00014313460271218078,20626.328584181458,0.22,0.4
1.1026654243469238,2.0036099480741703,2.0000003366398076,20626.31305049275,0.0,0.0,0.06174170399367471,-0.00014957608200941313,0.11914686830072362,0.22,0.4
1.1922438144683838,2.003612079461274,2.0000003660212706,20626.31243202235,0.0,0.0,0.07569446595575481,1.1440414782273428e-05,1.3624011169171992,0.22,0.4
1.2611515522003174,2.0036131777893686,2.0000003811474705,20626.31211330391,0.0,0.0,0.08305152467015338,0.00023299399837669633,2.139428851348307,0.22,0.4
1.3176209926605225,2.003614244035348,2.000000395822466,20626.31180388642,0.0,0.0,0.0901608545495701,0.0005416924589407668,2.870210921439349,0.22,0.4
1.366309404373169,2.0036153104996988,2.000000410491236,20626.311494396912,0.0,0.0,0.09726613093835637,0.0009398707030918009,3.601440256270242,0.22,0.4
1.4220020771026611,2.0036174764173693,2.0000004402541145,20626.31086581794,0.0,0.0,0.11172640966728371,0.0020374300828715644,5.130909231647698,0.22,0.4
1.4733939170837402,2.0036196432355435,2.00000046999128,20626.310236942238,0.0,0.0,0.12614324677633976,0.0035205944847998983,6.668353560948452,0.22,0.4
1.535691261291504,2.003621778593844,2.000000499259437,20626.309617162686,0.1,1.5,0.1403003598015251,0.005359330860798723,8.185624615583178,0.22,0.4
1.5909223556518555,2.0036316433373393,1.9999989885380502,0.2343392842186206,0.1,1.5,0.1475744503011632,0.0064528938794399205,8.96744902485802,0.22,0.4
1.6611320972442627,2.00469250727375,2.0000146788910205,2.152592107025083,0.1,1.5,0.1616528175478814,0.008859038903950974,10.484953408789671,0.22,0.4
1.7334880828857422,2.005812770932172,2.0000642651068357,3.604722283029278,0.1,1.5,0.16888014847237104,0.010243981827497368,11.265977201721553,0.22,0.4
1.781043291091919,2.0071900046838884,2.000163735827846,5.2499900065851195,0.1,1.5,0.1758733546564857,0.01168204643698777,12.020853880471646,0.22,0.4
1.8475768566131592,2.0104744076711363,2.0005593648773377,8.997846368699566,0.1,1.5,0.190007618694068,0.014882348324594173,13.548496173861057,0.22,0.4
1.927717685699463,2.0121142356686135,2.0008386929423874,10.871104426015098,0.1,1.445765001166864,0.19694030703730314,0.016597933461300913,14.302498039191544,0.22,0.4
1.9769351482391357,2.0155632446138707,2.001607564103264,14.688124533126432,0.1,1.445765001166864,0.2109469047732285,0.020361839739895558,15.833367555484887,0.22,0.4
2.027979612350464,2.019661667830437,2.0028300023175674,18.9723030702461,0.1,1.3010469217650453,0.22464192447219086,0.02443431143611845,17.343675290648797,0.22,0.4
2.0759029388427734,2.021855325674344,2.0036173558441877,21.06315330459067,0.1,1.3010469217650453,0.23164797355427041,0.026671058092510413,18.126638254515175,0.22,0.4
2.125702142715454,2.0263070283077527,2.005500190768468,25.18192358910315,0.1,0.9010243148744742,0.24508737491352783,0.031269245902459775,19.694342428756716,0.22,0.4
2.1770243644714355,2.0263070283077527,2.005500190768468,25.18192358910315,0.1,0.9010243148744742,0.24508737491352783,0.031269245902459775,19.694342428756716,0.22,0.4
2.2324788570404053,2.0314655408799687,2.008114180287025,28.67239606304956,0.1,0.6836857227672526,0.2586696903823155,0.0363309646781408,21.234773001265346,0.22,0.4
2.2829031944274902,2.036698913629363,2.0111565719675086,31.711893230100014,0.1,0.6836857227672526,0.2720962439682928,0.041747540428205186,22.76021376216205,0.22,0.4
