time,x,y,yaw,vel_x,yaw_vel,x,y,yaw,vel_x,yaw_vel
0.22837567329406738,2.0004414896279012,2.0000057261815467,20625.79457143042,0.0,0.0,0.012700104926920999,-0.0001239537851007356,20623.949162635356,0.22,0.4
0.28514862060546875,2.0004416494694217,2.0000057417888004,20625.794442030816,0.0,0.0,0.012704320592158001,-0.00012413590746103269,20623.94830125716,0.22,0.4
0.2853586673736572,2.0004416494694217,2.0000057417888004,20625.794442030816,0.0,0.0,0.012704320592158001,-0.00012413590746103269,20623.94830125716,0.22,0.4
0.353931188583374,2.0004419741223227,2.0000057734739336,20625.79417924306,0.0,0.0,0.01271288155847156,-0.00012450597207257132,20623.94655221947,0.22,0.4
0.40944695472717285,2.0004421340880763,2.000005789078902,20625.794049777152,0.0,0.0,0.012717099085262078,-0.00012468839110174213,20623.94569066119,0.22,0.4
0.48446083068847656,2.0004424589929504,2.000005820759396,20625.79378685494,0.0,0.0,0.014040658145083318,-0.00018566999294715697,20623.95101759506,0.22,0.4
0.5399994850158691,2.0004426190826976,2.000005836362079,20625.793657322887,0.0,0.0,0.015555343306994002,-0.000253062793459584,20624.011064563903,0.22,0.4
0.6100406646728516,2.0004429442391185,2.000005868037937,20625.79339426652,0.0,0.0,0.019837462865469894,-0.0004325785259266068,20624.487571485493,0.22,0.4
0.6673228740692139,2.000443104452677,2.0000058836383383,20625.79326466845,0.0,0.0,0.022246947145420103,-0.0005198279214829586,20624.91041813126,0.22,0.4
0.7369611263275146,2.000443269563892,2.000005899710692,20625.7931311204,0.0,0.0,0.02484816399430856,-0.0005727562233563881,20625.26548011306,0.22,0.4
0.7992010116577148,2.000443590197561,2.0000059309076827,20625.792871814163,0.0,0.0,0.027549309172872988,-0.0006205218588567901,20625.412376111184,0.22,0.4
0.8549818992614746,2.000443915856205,2.0000059625742743,20625.792608490116,0.0,0.0,0.03424865831084682,-0.0007428223746582691,20625.333253289333,0.22,0.4
0.922675371170044,2.000444076317021,2.0000059781701105,20625.792478760282,0.0,0.0,0.04338258828352499,-0.0009359916256141007,20625.166052161123,0.22,0.4
0.9843406677246094,2.000444402226499,2.000006009832068,20625.792215302616,0.0,0.0,0.05564347585212029,-0.0012341667026050686,20625.15029121658,0.22,0.4
1.047344446182251,2.0004445628108307,2.000006025425621,20625.792085506997,0.0,0.0,0.062377513633074505,-0.001370388800767912,20625.57803431475,0.22,0.4
1.112422227859497,2.000444728303976,2.0000060414909187,20625.79195175548,0.0,0.0,0.06967287041340996,-0.0014442616872718927,20626.304577077397,0.22,0.4
1.2015423774719238,2.0004450496788517,2.000006072674211,20625.791692054438,0.0,0.0,0.08396466740124224,-0.0013069084121295996,1.3353658956982661,0.22,0.4
1.291687250137329,2.000445376089743,2.000006104326893,20625.791428329794,0.0,0.0,0.09841194592584472,-0.0007868666311440574,2.827183849006295,0.22,0.4
1.354051113128662,2.0004455369210175,2.000006119915876,20625.791298402706,0.1,1.5,0.10553579780351831,-0.0003918212543069429,3.5736093460659712,0.22,0.4
1.4162790775299072,2.000445702668581,2.000006135976463,20625.79116451575,0.1,1.5,0.1128766307830826,0.00011337937366673163,4.350228361757915,0.22,0.4
1.479177474975586,1.9999220112341647,2.0000096449416205,20626.275468142412,0.1,1.5,0.12709208953883458,0.0013781544483488018,5.8669071044037056,0.22,0.4
1.564432144165039,2.000181800663243,2.000007215343192,0.5528823510811188,0.1,1.5,0.13440282500494588,0.00217632604197722,6.647823791219766,0.22,0.4
1.6393253803253174,2.0018144320728677,2.000047410129244,2.9350573477893356,0.1,1.5,0.14856290841123876,0.004010107213560104,8.164211500266678,0.22,0.4
1.7110307216644287,2.003109177743628,2.0001253217798847,4.529827505330601,0.1,1.5,0.1558393658042455,0.005101135311924985,8.945274875758276,0.22,0.4
1.7689952850341797,2.004540460323072,2.0002531178742515,6.221284074540611,0.1,1.5,0.16288834009148515,0.006255055446896805,9.703331192742654,0.22,0.4
1.8454630374908447,2.009008146686578,2.000926977209182,11.480308260386053,0.1,1.5,0.18414052575518067,0.010318085550674209,11.989487264787027,0.22,0.4
1.9094457626342773,2.0105851504157015,2.0012661243749736,13.314280049542287,0.1,1.3215138634072339,0.19111776510169082,0.011844680433469045,12.743556216473525,0.22,0.4
1.9746668338775635,2.0124052868372764,2.001722995661439,15.37722522374364,0.1,1.3215138634072339,0.19828505693418916,0.013513318727607831,13.519679599845272,0.22,0.4
2.0345888137817383,2.015966357439937,2.002800864634694,18.74543147560824,0.1,1.1929520908975608,0.21213200097628007,0.01702913239870875,15.027230363668743,0.22,0.4
2.099879264831543,2.0201441193589815,2.0043568550119297,22.407253877077,0.1,1.1929520908975608,0.22607850174823804,0.020967068760701903,16.567292175312414,0.22,0.4
2.1513166427612305,2.02212051325851,2.0051971780830495,24.01913735326806,0.1,0.8661077058890179,0.2328584228293572,0.02303162398774811,17.359338586367908,0.22,0.4
2.202134132385254,2.02452145559805,2.006308434365401,26.029035951341996,0.1,0.8661077058890179,0.2398445515782084,0.025265933339414647,18.15480275740308,0.22,0.4
2.2840471267700195,2.02947355771117,2.008885987768516,29.10508502435047,0.1,0.6676729495282213,0.25335513590039066,0.02988832783248905,19.6741054665914,0.22,0.4
2.3548898696899414,2.0321945827051624,2.010445067093769,30.79256540427453,0.1,0.6676729495282213,0.26026659958135084,0.03240897655223661,20.456062948332256,0.22,0.4
2.423598289489746,2.0372389018974615,2.013587163306403,33.1844022781706,0.1,0.5651619777052217,0.27356734265441635,0.03756359499792546,21.95846132012558,0.22,0.4
